Cluster_Agglo,Species_List,Centroid_Latitude,Centroid_Longitude,Radius_Km,City_State,Habitat,Richness
47,"Odocoileus virginianus, Ursus americanus, Canis familiaris, Canis latrans, Lynx rufus, Alces alces, Canis lupus, Vulpes vulpes, Lepus americanus, Procyon lotor, Mephitis mephitis, Erethizon dorsatum",46.23676967720439,-88.26381454545454,50,Crystal Falls Township - Michigan,forest,12
48,"Canis familiaris, Procyon lotor, Felis catus, Sylvilagus floridanus, Sciurus carolinensis, Canis latrans, Didelphis virginiana, Odocoileus hemionus, Lynx rufus, Tamiasciurus douglasii, Ursus americanus, Glaucomys sabrinus, Rattus rattus, Neotamias townsendii, Aplodontia rufa",47.673205798073376,-122.21944679615385,50,Seattle - Washington,"anthropogenic, forest",15
49,"Canis latrans, Ovis aries, Odocoileus hemionus, Procyon lotor, Tamiasciurus douglasii, Sciurus carolinensis, Odocoileus virginianus, Canis familiaris, Lontra canadensis, Felis catus, Lama glama",47.41658694685911,-122.46857249999998,50,King County - Washington,forest,11
50,"Sciurus carolinensis, Procyon lotor, Canis familiaris, Odocoileus virginianus, Lynx rufus, Tamias striatus, Canis latrans, Didelphis virginiana, Ursus americanus, Vulpes vulpes, Sylvilagus floridanus, Marmota monax, Mustela erminea, Mephitis mephitis, Felis catus, Urocyon cinereoargenteus, Mustela frenata",41.42255625597767,-74.0274012307692,50,Orange County - New York,forest,17
51,"Sciurus carolinensis, Neotamias minimus, Odocoileus hemionus, Vulpes vulpes, Tamiasciurus hudsonicus, Neotamias townsendii, Canis latrans, Procyon lotor, Erethizon dorsatum, Tamiasciurus douglasii, Alces alces, Odocoileus virginianus, Sciurus griseus, Sylvilagus nuttallii, Peromyscus maniculatus, Ursus americanus, Lepus americanus, Lynx rufus, Mephitis mephitis, Canis familiaris, Cervus canadensis, Felis catus",46.81044310166835,-116.9188891411764,50,Latah County - Idaho,"anthropogenic, forest",22
52,"Bison bison, Lynx rufus, Canis latrans, Bos taurus, Sylvilagus floridanus, Sciurus niger, Cervus canadensis, Dasypus novemcinctus, Procyon lotor, Odocoileus virginianus, Sus scrofa, Mephitis mephitis, Erethizon dorsatum, Urocyon cinereoargenteus, Lontra canadensis",34.80274843438666,-98.742215,50,Comanche County - Oklahoma,forest,15
53,"Puma concolor, Lepus americanus, Lynx rufus, Lepus townsendii, Canis latrans, Odocoileus virginianus, Tamiasciurus hudsonicus, Cervus canadensis, Bos taurus, Odocoileus hemionus, Taxidea taxus, Ursus arctos, Mephitis mephitis, Sylvilagus nuttallii, Erethizon dorsatum, Alces alces, Equus caballus, Glaucomys sabrinus, Ursus americanus, Mustela erminea, Canis familiaris, Canis lupus, Procyon lotor, Neotoma cinerea, Vulpes vulpes, Mustela frenata",48.09439861173208,-112.68461492537313,50,Teton County - Montana,"forest, grassland",26
54,"Odocoileus hemionus, Ursus americanus, Tamiasciurus hudsonicus, Canis latrans, Mustela frenata, Neotamias minimus, Puma concolor, Alces alces, Mephitis mephitis, Cervus canadensis, Canis familiaris, Lepus americanus, Vulpes vulpes, Martes americana, Taxidea taxus, Procyon lotor, Canis lupus, Glaucomys sabrinus, Pekania pennanti, Erethizon dorsatum",43.64090132104941,-114.32984449999996,50,Blaine County - Idaho,forest,20
55,"Ursus arctos, Alces alces, Canis latrans, Lynx canadensis, Canis familiaris, Ursus americanus, Canis lupus, Tamiasciurus hudsonicus, Gulo gulo, Erethizon dorsatum, Martes americana, Mustela erminea, Felis catus",59.41387259010729,-136.11687577241378,50,Haines Borough - Alaska,forest,13
56,"Odocoileus virginianus, Didelphis virginiana, Procyon lotor, Canis latrans, Sylvilagus aquaticus, Dasypus novemcinctus, Lynx rufus, Sciurus carolinensis, Canis familiaris, Sciurus niger, Felis catus, Sylvilagus floridanus, Vulpes vulpes, Urocyon cinereoargenteus, Mephitis mephitis",33.413538356397794,-88.85389775000002,50,Oktibbeha County - Mississippi,forest,15
57,"Odocoileus virginianus, Canis latrans, Sciurus carolinensis, Pekania pennanti, Tamiasciurus hudsonicus, Procyon lotor, Lynx rufus, Tamias striatus, Odocoileus hemionus, Sylvilagus floridanus, Glaucomys volans, Canis familiaris, Urocyon cinereoargenteus, Didelphis virginiana, Peromyscus leucopus, Mustela frenata, Vulpes vulpes, Mephitis mephitis, Marmota monax, Neovison vison",41.51780246542936,-71.57899437884613,50,South County - Rhode Island,forest,20
58,"Pecari tajacu, Odocoileus virginianus, Canis latrans, Procyon lotor, Sus scrofa, Dasypus novemcinctus, Spilogale putorius, Sciurus niger, Mephitis mephitis, Didelphis virginiana",28.24736803233602,-96.871798,50,Aransas County - Texas,wetland,10
59,"Ursus americanus, Tamias striatus, Sciurus carolinensis, Procyon lotor, Didelphis virginiana, Odocoileus virginianus, Canis latrans, Canis familiaris, Tamiasciurus hudsonicus, Mustela frenata, Sylvilagus floridanus, Erethizon dorsatum, Napaeozapus insignis, Mephitis mephitis, Lynx rufus, Pekania pennanti, Neovison vison, Felis catus, Alces alces, Blarina brevicauda, Mustela erminea",44.07793521719096,-73.07422422475247,50,Addison County - Vermont,forest,21
60,"Procyon lotor, Odocoileus virginianus, Felis catus, Canis familiaris, Sciurus niger, Canis latrans, Tamias striatus, Didelphis virginiana, Sylvilagus floridanus, Mustela erminea, Marmota monax, Castor canadensis, Lynx rufus, Peromyscus leucopus, Mephitis mephitis, Neovison vison, Equus caballus, Vulpes vulpes, Lontra canadensis, Taxidea taxus",42.12016063019664,-93.5744373255814,50,Story County - Iowa,forest,20
61,"Odocoileus virginianus, Canis latrans, Procyon lotor, Vulpes vulpes, Sylvilagus floridanus, Didelphis virginiana, Sciurus niger, Canis familiaris, Felis catus, Mephitis mephitis, Neovison vison",41.89503260698312,-89.33951400000001,50,Ogle County - Illinois,grassland,11
62,"Sciurus carolinensis, Odocoileus virginianus, Sciurus niger, Didelphis virginiana, Canis latrans, Procyon lotor, Sylvilagus floridanus, Mephitis mephitis, Felis catus, Urocyon cinereoargenteus, Canis familiaris, Marmota monax, Vulpes vulpes",42.37574297114403,-83.13978148148146,50,Detroit - Michigan,forest,13
63,"Bos taurus, Urocyon cinereoargenteus, Odocoileus virginianus, Sciurus carolinensis, Procyon lotor, Dasypus novemcinctus, Sciurus niger, Didelphis virginiana, Bassariscus astutus, Sylvilagus floridanus, Canis latrans, Lynx rufus, Canis familiaris",31.064780257585333,-97.8744375,50,Bell County - Texas,forest,13
64,"Dasypus novemcinctus, Odocoileus virginianus, Sylvilagus floridanus, Didelphis virginiana, Bos taurus, Procyon lotor, Sciurus carolinensis, Sciurus niger",37.11380861658864,-95.93396283333333,50,Montgomery County - Kansas,forest,8
65,"Sciurus niger, Odocoileus virginianus, Sus scrofa, Canis latrans, Procyon lotor, Didelphis virginiana, Lynx rufus, Mephitis mephitis, Sylvilagus floridanus, Dasypus novemcinctus, Canis familiaris",33.364466567424685,-97.6149322222222,50,Wise County - Texas,forest,11
66,"Didelphis virginiana, Odocoileus virginianus, Sciurus carolinensis, Procyon lotor, Dasypus novemcinctus, Sylvilagus floridanus, Sus scrofa, Canis latrans, Sylvilagus palustris",31.38186451416649,-81.56603937499999,50,Glynn County - Georgia,forest,9
67,"Odocoileus virginianus, Urocyon cinereoargenteus, Procyon lotor, Sus scrofa, Bos taurus, Mephitis mephitis, Sylvilagus aquaticus, Canis latrans, Lynx rufus, Equus asinus, Erethizon dorsatum, Sylvilagus floridanus, Didelphis virginiana, Sciurus niger, Dasypus novemcinctus, Capra aegagrus hircus, Spilogale putorius, Bassariscus astutus, Sus scrofa scrofa, Sciurus carolinensis, Canis familiaris, Felis catus, Vulpes vulpes",29.91121122685725,-97.99194010463764,50,Hays County - Texas,"anthropogenic, forest, grassland",23
68,"Odocoileus virginianus, Tamiasciurus hudsonicus, Lepus americanus, Erethizon dorsatum, Canis latrans, Glaucomys sabrinus, Ursus americanus, Procyon lotor, Canis lupus, Urocyon cinereoargenteus, Vulpes vulpes, Mephitis mephitis, Taxidea taxus",47.63516258255201,-93.47064866666663,50,Itasca County - Minnesota,forest,13
69,"Bos taurus, Cynomys ludovicianus, Canis latrans, Bison bison, Canis familiaris, Odocoileus hemionus, Procyon lotor, Antilocapra americana, Mephitis mephitis, Taxidea taxus, Lepus californicus, Sylvilagus floridanus, Vulpes velox, Castor canadensis, Lynx rufus, Odocoileus virginianus, Erethizon dorsatum, Urocyon cinereoargenteus, Felis catus",38.85964697604432,-100.98201249999998,50,Logan County - Kansas,grassland,19
70,"Sciurus carolinensis, Odocoileus virginianus, Erethizon dorsatum, Procyon lotor, Didelphis virginiana, Urocyon cinereoargenteus, Vulpes vulpes, Canis latrans, Sylvilagus floridanus, Tamias striatus, Ursus americanus, Tamiasciurus hudsonicus, Lynx rufus, Pekania pennanti, Mephitis mephitis, Canis familiaris, Felis catus",42.37997789584127,-72.5086611111111,50,Hampshire County - Massachusetts,forest,17
71,"Odocoileus virginianus, Canis latrans, Ursus americanus, Procyon lotor, Didelphis virginiana, Sciurus carolinensis, Lynx rufus, Urocyon cinereoargenteus, Sylvilagus floridanus",35.15193717771312,-76.98124214285713,50,Craven County - North Carolina,forest,9
72,"Canis latrans, Odocoileus virginianus, Procyon lotor, Sciurus carolinensis, Vulpes vulpes, Felis catus, Mephitis mephitis, Didelphis virginiana, Peromyscus leucopus, Neovison vison, Glaucomys sabrinus, Sylvilagus floridanus, Tamias striatus, Canis familiaris, Marmota monax, Mustela frenata",40.52580089500426,-74.49388998541669,50,Middlesex County - New Jersey,forest,16
73,"Odocoileus virginianus, Sus scrofa, Didelphis virginiana, Procyon lotor, Sciurus carolinensis, Dasypus novemcinctus, Sylvilagus palustris, Neotoma floridana, Lynx rufus, Peromyscus leucopus, Canis latrans, Sciurus niger, Sylvilagus floridanus, Urocyon cinereoargenteus",33.23663379453948,-81.6526703287671,50,Barnwell County - South Carolina,"forest, wetland",14
